BookingID,LeadID,BookingDate,BookingAmount,PaymentStatus
B6,6,2024-04-07,18320642.932687547,Partial
B8,8,2024-07-06,5136274.696165297,Partial
B16,16,2024-04-24,22643724.38018611,Partial
B17,17,2024-04-09,7410516.3095338335,Pending
B22,22,2024-03-29,14927564.984886058,Paid
B24,24,2024-05-11,14884222.845244277,Partial
B30,30,2024-06-25,11904860.175317202,Paid
B35,35,2024-11-20,17513331.406473342,Paid
B37,37,2024-01-19,17641761.064669516,Pending
B45,45,2024-05-11,10470275.58978058,Partial
B51,51,2024-09-20,14773930.006059635,Paid
B55,55,2024-04-13,11406190.931074137,Pending
B58,58,2025-02-14,12128114.10214665,Pending
B65,65,2024-10-09,12140597.472711576,Paid
B66,66,2024-03-09,15865884.942094015,Pending
B80,80,2024-07-26,19423708.38671335,Pending
B93,93,2024-06-13,9848461.87005127,Paid
B95,95,2024-08-06,21430427.50666411,Paid
B99,99,2024-10-16,7833441.353998057,Partial
B106,106,2024-09-25,9595229.27459968,Partial
B110,110,2024-07-23,7838295.255851987,Partial
B118,118,2024-08-25,4054633.042618448,Partial
B135,135,2024-08-18,15182825.811674945,Pending
B137,137,2024-02-03,13710555.84436409,Partial
B138,138,2024-11-27,12296799.970816977,Partial
B152,152,2024-08-08,14059628.945655731,Paid
B160,160,2024-09-16,10808214.406158755,Paid
B169,169,2024-11-28,17116227.8683704,Paid
B175,175,2024-10-03,4090022.4881737577,Paid
B179,179,2024-09-21,12937956.79078046,Pending
B181,181,2024-09-02,17144726.20079654,Paid
B187,187,2024-08-28,7109675.908936368,Paid
B191,191,2024-02-13,22162539.277790185,Pending
B192,192,2024-04-29,16668720.111073874,Paid
B194,194,2024-07-11,13651475.658658337,Paid
B195,195,2024-05-16,14423260.114216778,Partial
B196,196,2024-03-18,11395707.557839124,Paid
B200,200,2024-06-27,12053224.36226108,Pending
B207,207,2024-08-24,22100307.34294423,Partial
B209,209,2024-02-23,19440400.19887954,Paid
B214,214,2024-07-23,14702124.78485834,Partial
B215,215,2024-12-18,21533897.026220758,Partial
B218,218,2024-08-21,15668316.787315147,Pending
B231,231,2024-03-09,17292771.06825146,Paid
B235,235,2024-05-08,18277127.085349515,Partial
B237,237,2024-08-30,4815256.96310474,Paid
B238,238,2025-02-05,6581163.868591608,Pending
