CampaignID,Source,Month,Spend,Clicks,LeadsGenerated
1,Housing,12,69573,1792,300
2,Google Ads,8,237854,7422,100
3,Google Ads,3,373336,8741,236
4,Channel Partner,5,108751,2066,254
5,Referral,1,200233,2442,160
6,99acres,8,385705,6297,73
7,Google Ads,9,194510,4800,290
8,Google Ads,4,276225,6590,245
9,Google Ads,3,92071,8432,207
10,Google Ads,1,291226,9425,212
11,Housing,3,389645,5218,113
12,Referral,5,238537,3344,113
13,Facebook,8,100985,9682,223
14,Referral,8,194397,6031,82
15,Walk-in,10,440870,1132,153
16,Google Ads,10,417042,6256,213
17,Channel Partner,3,300613,4940,132
18,99acres,1,379546,9892,225
19,Google Ads,10,338559,7812,246
20,Referral,1,385653,6832,116
21,Referral,6,428108,3894,161
22,99acres,5,245492,5596,245
23,Walk-in,6,491667,1247,296
24,Google Ads,2,143333,2986,264
25,Facebook,1,169354,6133,140
26,Facebook,3,122745,2099,256
27,Facebook,12,345035,3315,56
28,Walk-in,9,167319,8237,262
29,Referral,10,371398,6118,123
30,Walk-in,9,499368,2955,289
31,Channel Partner,10,177880,1992,173
32,Facebook,4,191295,8238,85
33,Google Ads,4,189782,2890,181
34,99acres,5,405075,6271,122
35,Walk-in,5,211839,2098,65
36,99acres,7,409591,8516,189
37,Referral,9,463361,8143,250
38,Housing,9,474827,3005,229
39,Walk-in,8,232915,7673,218
40,99acres,10,215485,1765,183
41,Google Ads,5,353765,5482,200
42,Channel Partner,10,418043,4865,270
43,Facebook,12,459677,2872,197
44,Channel Partner,3,374190,9135,226
45,99acres,8,71775,3191,245
46,Channel Partner,10,460392,1030,217
47,Referral,2,216264,2820,94
48,Referral,12,441611,2920,159
49,Referral,4,143644,8062,129
50,Facebook,3,326933,5379,219
51,Referral,2,400538,5945,182
52,99acres,12,126970,2958,225
53,Channel Partner,6,174495,6056,144
54,Referral,5,224545,5597,143
55,99acres,2,66652,4226,218
56,Channel Partner,4,311146,9000,191
57,Walk-in,6,197875,6352,254
58,Walk-in,6,239710,9003,248
59,Facebook,9,370594,6805,75
60,Referral,8,443352,2635,197
61,Walk-in,9,214033,7045,244
62,Facebook,8,369873,7786,180
63,99acres,6,285171,4919,63
64,Channel Partner,3,318542,2714,277
65,Referral,2,170645,2434,132
66,99acres,8,387819,9935,84
67,Referral,10,259643,5224,257
68,99acres,2,462381,4308,119
69,Facebook,12,136736,7331,165
70,Google Ads,12,294068,8306,176
71,Referral,3,94362,4467,257
72,Referral,12,332313,5162,58
73,Housing,3,137729,4493,160
74,Housing,8,250970,9136,90
75,Facebook,4,125100,5094,74
76,99acres,4,120263,8276,285
77,Housing,8,428538,2107,131
78,Facebook,6,428104,4244,184
79,Referral,6,460904,4382,137
80,Facebook,7,427203,5248,168
81,Walk-in,8,193350,6466,164
82,Facebook,5,108711,8487,71
83,Google Ads,9,253171,8718,236
84,Google Ads,9,389695,7736,172
85,Referral,3,56490,8268,164
86,Channel Partner,9,478953,2778,298
87,Referral,4,400988,4084,108
88,Walk-in,7,220383,6802,111
89,Google Ads,9,464613,4288,241
90,Referral,6,94796,4351,218
91,Channel Partner,3,332271,5635,148
92,Referral,8,231639,2314,193
93,99acres,3,377892,6643,203
94,Walk-in,1,114530,6001,134
95,Facebook,5,171739,4776,228
96,Walk-in,11,99870,4827,103
97,Walk-in,3,321753,1436,221
98,Channel Partner,4,430832,9379,84
99,Referral,9,188878,6567,242
100,Google Ads,11,201929,1526,128
101,Facebook,10,317557,2410,61
102,99acres,7,65581,9015,56
103,99acres,1,318145,2605,63
104,Channel Partner,8,474307,2473,232
105,Referral,4,428095,5095,91
106,Housing,8,110134,6679,191
107,Walk-in,1,245423,2061,196
108,Facebook,5,60217,7874,258
109,Facebook,5,328472,6819,257
110,99acres,11,60301,1838,294
111,Facebook,6,488962,3102,288
112,Walk-in,12,122188,1926,269
113,99acres,6,76233,4983,125
114,Channel Partner,8,71774,3460,134
115,Referral,7,134366,3269,245
116,Google Ads,10,262974,7292,189
117,Facebook,12,215946,6054,91
118,99acres,9,485669,4578,125
119,Housing,2,84673,1138,92
120,Google Ads,4,336676,7496,79
121,Referral,3,51701,3363,234
122,Google Ads,2,438380,5529,75
123,Walk-in,4,214413,6611,84
124,Channel Partner,11,137316,8564,202
125,Facebook,6,477126,7378,218
126,Channel Partner,11,294332,9413,115
127,Google Ads,8,430829,4044,221
128,Walk-in,7,360422,5675,67
129,Google Ads,10,129196,3884,237
130,99acres,10,130810,8725,143
131,Google Ads,9,355425,1384,216
132,99acres,5,169318,3556,231
133,Facebook,1,389122,8273,166
134,Google Ads,3,56597,1082,270
135,Facebook,11,207887,9165,238
136,Walk-in,4,90259,3193,159
137,Channel Partner,11,244825,7608,93
138,Referral,2,342470,1081,56
139,Facebook,2,180238,4905,198
140,Housing,10,322844,4130,228
141,Walk-in,6,61974,9662,141
142,Channel Partner,2,278158,4708,300
143,Channel Partner,5,499284,7705,90
144,Housing,11,260838,9417,68
145,Housing,5,129113,1343,126
146,Housing,7,391420,6005,223
147,Walk-in,4,271875,9464,295
148,99acres,6,266721,6354,64
149,Housing,7,238987,4199,216
150,99acres,2,187428,1584,51
