FollowUpID,LeadID,FollowUpDate,CallDuration,ResponseTimeMins,SiteVisit
1_0,1,2024-06-29,12,72,No
1_1,1,2024-06-30,9,5,No
1_2,1,2024-07-01,11,16,No
1_3,1,2024-07-02,1,14,Yes
1_4,1,2024-07-03,11,65,Yes
2_0,2,2024-12-13,7,36,Yes
3_0,3,2024-06-16,2,117,Yes
3_1,3,2024-06-17,3,83,No
4_0,4,2024-08-22,9,97,No
5_0,5,2024-03-27,14,29,Yes
5_1,5,2024-03-28,15,119,No
5_2,5,2024-03-29,7,16,No
5_3,5,2024-03-30,12,93,No
6_0,6,2024-02-21,8,47,No
6_1,6,2024-02-22,11,14,Yes
7_0,7,2024-12-15,3,19,Yes
8_0,8,2024-05-25,8,4,Yes
9_0,9,2024-01-06,10,95,No
9_1,9,2024-01-07,13,22,No
10_0,10,2024-10-27,2,2,Yes
11_0,11,2024-02-05,8,57,No
11_1,11,2024-02-06,13,43,Yes
11_2,11,2024-02-07,1,21,No
11_3,11,2024-02-08,1,97,Yes
12_0,12,2024-04-19,2,24,No
12_1,12,2024-04-20,15,39,No
13_0,13,2024-06-25,2,9,No
13_1,13,2024-06-26,12,48,No
13_2,13,2024-06-27,10,108,No
13_3,13,2024-06-28,15,101,No
13_4,13,2024-06-29,15,36,Yes
14_0,14,2024-07-21,7,57,No
14_1,14,2024-07-22,2,111,No
14_2,14,2024-07-23,7,113,Yes
14_3,14,2024-07-24,9,103,No
15_0,15,2024-01-24,6,73,Yes
15_1,15,2024-01-25,12,51,Yes
15_2,15,2024-01-26,3,56,Yes
15_3,15,2024-01-27,2,81,No
16_0,16,2024-03-01,5,53,No
17_0,17,2024-03-23,9,35,No
18_0,18,2024-02-28,14,80,Yes
19_0,19,2024-05-27,4,41,No
19_1,19,2024-05-28,12,84,No
19_2,19,2024-05-29,15,62,Yes
20_0,20,2024-09-17,14,29,No
20_1,20,2024-09-18,1,23,No
20_2,20,2024-09-19,8,26,No
20_3,20,2024-09-20,7,72,Yes
20_4,20,2024-09-21,2,9,No
21_0,21,2024-04-05,11,35,Yes
21_1,21,2024-04-06,12,78,No
21_2,21,2024-04-07,5,39,No
21_3,21,2024-04-08,15,75,Yes
21_4,21,2024-04-09,3,88,No
22_0,22,2024-02-19,5,39,No
22_1,22,2024-02-20,3,103,No
22_2,22,2024-02-21,7,81,No
